Descricao,Data,Valor
Latam,2022-09-23 14:47:14,-324.23
Gol,2022-09-22 23:33:00,-50.68
Cinema,2022-09-22 00:28:20,-10.33
Cinema,2022-09-21 02:04:52,-17.65
Nike,2022-09-20 02:52:05,-105.15
Azul,2022-09-19 02:12:52,-370.59
Farmacia,2022-09-18 05:47:49,-16.28
Azul,2022-09-18 05:42:26,-382.75
Jau Serve,2022-09-18 01:55:36,-20.84
Açougue,2022-09-17 20:33:04,-16.9
Gol,2022-09-17 17:29:44,-337.24
Livraria,2022-09-17 15:35:50,-61.85
CVC,2022-09-17 11:20:48,-386.78
Gol,2022-09-17 02:24:17,-51.08
Farmacia,2022-09-16 06:46:01,-9.86
Laticinios,2022-09-16 00:38:55,-17.09
Adidas,2022-09-15 17:36:06,-146.19
Restaurante,2022-09-14 19:05:29,-19.07
CVC,2022-09-13 03:51:44,-353.42
Livraria,2022-09-12 10:28:23,-65.32
Azul,2022-09-12 07:52:47,-53.94
Lanchonete,2022-09-11 18:38:46,-21.28
ClickBus,2022-09-10 17:45:36,-53.2
Laticinios,2022-09-10 16:31:45,-11.64
Lanchonete,2022-09-10 06:28:42,-11.07
Jau Serve,2022-09-10 06:08:48,-51.94
Restaurante,2022-09-09 22:55:26,-56.45
Restaurante,2022-09-09 19:15:51,-31.75
Farmacia,2022-09-08 20:35:08,-33.51
Farmacia,2022-09-08 10:54:37,-14.21
Lanchonete,2022-09-07 11:12:10,-15.11
Cinema,2022-09-07 10:53:20,-19.41
IFood,2022-09-07 10:30:13,-10.29
Açougue,2022-09-06 16:46:48,-44.4
Consultorio Medico,2022-09-02 05:39:26,-340.54
Laticinios,2022-09-01 23:44:57,-18.78
Jau Serve,2022-09-01 09:50:07,-14.3
ClickBus,2022-08-31 16:53:24,-100.6
Açougue,2022-08-31 02:16:25,-69.54
IFood,2022-08-30 05:04:41,-18.79
Consultorio Medico,2022-08-29 22:30:08,-348.09
Lanchonete,2022-08-29 20:03:34,-12.78
